CCODE,CNAME,VENDOR_NO,WORK_ORDER,WO_FROM_DATE,WO_TO_DATE,CVALUE,DURATION,CDURATION,EIC_PRNO,EIC,JOB_DESC,DEPARTMENT,EMPLOYEE_COUNT,CLRA,ISMW,WORKMEN_TOT,EXCESS_CLRA_COUNT,EXCESS_CLRA_CONT_COUNT,STATUS
CT0425,EIL-SIMPLEX INFRASTRUCTURE LTD,,AS/A927-000-CE-TN-8102/1005,2021-03-26,2021-06-30,NULL,122,4,3237,S SADAGOPANMr. ILANGO R,PROJECTS,PROJECTSPROJECTS,NULL,850,700,NULL,NULL,NULL,1
CT0727,BRIDGE&ROOF-CIVIL,,AS/A927-000-CF-TN-8201/1008/FOA/3007,2020-12-31,,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,500,400,NULL,NULL,NULL,1
CT0979,EIL-BRIDGE&ROOF CIVIL-ADVANCE VENTILATION PVT LTD,,AS/A927-000-CF-TN-8201/1008/FOA/3007-ADP,2020-12-31,2021-06-30,NULL,126,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,24,24,NULL,NULL,NULL,1
CT0930,EIL-BRIDGE&ROOF-CIVIL-SRI DHANALAKSHMI ENTERPRISES,,AS/A927-000-CF-TN-8201/1008/FOA/3007-ESN,2020-12-31,2021-06-30,NULL,122,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,21,10,NULL,NULL,NULL,1
CT0983,EIL-BRIDGE AND ROOF-CIVIL-NU CALCUTTA CONSTRUCTION COPMANY,,AS/A927-000-CF-TN-8201/1008/FOA/3007-NCC,2020-12-31,2021-06-30,NULL,101,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,15,20,NULL,NULL,NULL,1
CT1133,EIL-BRIDGE&ROOF-CIVIL-SK RAJAUL,,AS/A927-000-CF-TN-8201/1008/FOA/3007-SKR,2020-12-31,2021-06-30,NULL,92,NULL,3035,Mr. SADAGOPAN S,PROJECTS,PROJECTS,NULL,100,100,NULL,NULL,NULL,1
CT0897,EIL-BRIDGE AND ROOF-CIVIL-SRJ LOGISTICS,,AS/A927-000-CF-TN-8201/1008/FOA/3007-SRJ,2020-12-31,2021-06-30,NULL,116,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,500,100,NULL,NULL,NULL,1
CT0745,EIL-TUAMAN ENGINEERING LIMITED,,AS/A927-000-CM-TN-8104/1010/FOA/3008,2021-01-31,2021-06-30,NULL,62,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,100,80,NULL,NULL,NULL,1
CT0782,EIL-TUAMAN-SHREE SAI ENGINEERS,,AS/A927-000-CM-TN-8104/1010/FOA/3008-SUB,2020-12-31,2021-06-30,NULL,28,NULL,3237,Mr. ILANGO R,PROJECTS,PROJECTS,NULL,19,5,NULL,NULL,NULL,1
CT1168,"EIL-BRIDGE&ROOF (OSBL)-P.K.ENGINEERING WORKS	",,AS/A927-000-PK-TN-3002/1012/FOA/3009,,2021-06-30,,undefined,,,,,PROJECTS,NULL,15,4,19,NULL,NULL,1
